Latitude,Longitude,Porcentaje,Pais
-35.424867,-63.984375,36,Argentina
-17.056784609942554,-64.4677734375,25,Bolivia
-37.75334401310656,-72.2021484375,53,Chile
3.8642546157214213,-73.30078125,38,Colombia
-1.2303741774326018,-78.3984375,49,Ecuador
15.326571801420842,-90.3955078125,46,Guatemala
23.845649887659352,-102.48046875,37,México
-10.22843726615593,-75.1904296875,55,Perú
-32.8426736319543,-56.03027343749999,67,Uruguay
7.318881730366756,-65.6982421875,21,Venezuela
